artcle_title,text
【問題】道士玩筆仙，算不算釣魚執法？,rt
【心得】早安,各位肥宅
【情報】「今日烏克蘭，明日台灣」瘋傳！陸委會：提升應對境外勢力認知作戰,媒體來源： ETtoday新聞雲 2022年02月24日 17:30 完整新聞標題： 「今日烏克蘭，明日台灣」瘋傳！陸委會：提升應對境外勢力認知作戰 完整新聞內容： 記者蔡紹堅∕台北報導 俄羅斯24日…
【心得】胖子聽起來又臭又髒 胖胖子聽起來卻很可愛,何解？
【閒聊】感謝場外,讓我可以隨意發廢文
【其他】做了給黏土人用的小配件,不知道要放哪個版就放場外好了 因為買了阿夸黏土人但是配件裡沒有菸，於是只能自己做了( 首先，先找個細一點的棒子，我是用棉花棒中間的棒子 一邊的頭剪掉後稍微打磨一下 剪…
【密技】大奶幽靈我會幹到你！！,https://twitter.com/houtengeki/status/1542769698840129536/photo/1 場外人有什麼辦法能幹到大奶幽靈?
【情報】內湖七月半,內湖七月半，一無可看，止可看看金寶幫之眾。看金寶幫之眾，以五類看之。 其一，摟舡吹簫，峨冠盛筵，筆討不斷，聲光相亂，明為廚而實不廚者，看之 ；其一，亦廚亦反，繭宅…
【問題】被女學生威脅了要怎麼辦,ななんと (↑野介)
【情報】岸田文雄：今日烏克蘭明日東亞 必須保持台海穩定,岸田文雄：今日烏克蘭明日東亞 必須保持台海穩定 英國首相強森（Boris Johnson）5日在倫敦唐寧街10號接待來訪的日本首相岸田文雄。（法新社） 2022/05/06 08:54〔即時新聞∕綜合報導〕…
【問題】現在的小孩英文是不是都很好?,聽說現在都雙語教學了，英文都很流利嗎?
一人一款美食 你覺得好吃推 你不喜歡噓,
【問題】軍援烏克蘭的國家擴大到50多國，場外人覺得俄羅斯可以撐到什麼時候？,如題，烏克蘭有這些軍援，再加上烏克蘭腹地其實也很大，縱深不會比法國這些國家小 而俄羅斯的GDP其實很脆弱，是用人口紅利還有天然資源撐起來的數字 從２０１４年以後經濟制…
巴友 星期六要做什麼？,要躺在家裡一整天嗎？ 要外出上班嗎？ 要一起玩嗎？
【問題】有人可以表演一個人抱昏迷的二歲小孩 跟五歲小孩嗎,我真他媽覺得台灣人真的有病 有人他媽覺得一個媽媽可以抱起昏迷的二歲小孩跟五歲小孩 並且走他媽的四百公尺。 歡迎勇者表演一下打我臉。 對一個母親，面對兩個重病的小孩，…
【情報】高雄又停電！楠梓、燕巢5718戶無電可用 台電緊急搶修：雷雨導致,高雄又停電！楠梓、燕巢5718戶無電可用 台電緊急搶修：雷雨導致 17:592022/07/01 中時 林雅惠 、中時新聞網、 林毅 近日受到對流雲系影響，中南部地區不斷降下午後大雷雨，傳出不少…
【情報】買個車票，好刺激喔！,
【問題】賣麵，為什麼開日式麵店會比台式麵店好賺很多啊？,有誰知道為什麼價格能落差這麼大嗎？
【心得】支那豬素材2.0 高清版,支那豬大樓 傳承下去 高清版素材 歡迎提供素材 待續.......
你的身體是我的啦！,
